Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
352.5,184.5,74.40535302,36.67426765,0.6961433,0.6757607,0.73854476,0.79430413,0.2377697,0.22838296
355.5,184.5,74.40625948,36.67427218,0.7460045,0.7267311,0.8040465,0.85878843,0.19526297,0.19177103
358.5,184.5,74.40716593,36.67427669,0.98804486,1.0183831,1.0704316,1.0810581,0.17874777,0.17433989
361.5,184.5,74.40807239,36.6742812,0.64761513,0.6685654,0.7184672,0.75718033,0.24675469,0.22024341
363.5,184.5,74.4086767,36.6742842,0.5076523,0.5250124,0.59980416,0.64948297,0.27870256,0.25606173
366.5,184.5,74.40958315,36.6742887,0.33108613,0.35867837,0.40741923,0.42667833,0.24172714,0.22274856
341.5,187.5,74.402035,36.67352084,0.35734785,0.3945635,0.40041482,0.37603885,0.17265117,0.17480269
350.5,187.5,74.40475434,36.67353446,1.0247059,0.9884331,1.0749553,1.1196862,0.13352415,0.13964938
352.5,187.5,74.40535864,36.67353748,1.1889595,1.1975007,1.269048,1.274927,0.09737388,0.10255456
355.5,187.5,74.40626509,36.67354201,1.1558204,1.1570405,1.2278666,1.195077,0.085695885,0.09182111
358.5,187.5,74.40717154,36.67354652,1.1449773,1.1513278,1.224844,1.1803077,0.078356445,0.08372093
361.5,187.5,74.40807798,36.67355103,1.1062641,1.1097028,1.1762861,1.1249231,0.085843734,0.08548181
363.5,187.5,74.40868228,36.67355403,1.1269518,1.1371015,1.2067354,1.1247514,0.08464486,0.08428294
366.5,187.5,74.40958873,36.67355853,0.93077165,0.93089783,0.9910982,0.9442004,0.078740984,0.08084466
380.5,187.5,74.41381883,36.67357943,0.45878333,0.46991247,0.49886635,0.5003593,0.09328869,0.09046469
383.5,187.5,74.41472528,36.67358388,0.33797497,0.30646154,0.32294813,0.32686943,0.06697674,0.07006798
336.5,191.5,74.40053181,36.67253969,0.7667864,0.7139385,0.7702973,0.8524102,0.13140608,0.13893381
338.5,191.5,74.4011361,36.67254273,1.1898745,1.1731802,1.2142783,1.2290314,0.12848659,0.13544187
