Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
510.5,161.5,74.45305369,36.68009448,0.42676082,0.4416533,0.46458304,0.43096328,0.14206974,0.13193129
510.5,164.5,74.45305886,36.6793643,0.30014387,0.27732798,0.2693114,0.2446603,0.10781999,0.116167165
510.5,168.5,74.45306575,36.67839074,0.25932875,0.22563165,0.20957822,0.19006671,0.022231312,0.02233376
510.5,171.5,74.45307092,36.67766056,0.28123817,0.23936291,0.22931688,0.20551437,0.022010377,0.022969546
510.5,175.5,74.45307781,36.676687,0.2217834,0.17930378,0.16930996,0.1453903,0.01589182,0.01549394
355.5,177.5,74.40624639,36.6759759,0.8887485,0.91847914,1.0074847,0.9788057,0.10441503,0.11303041
358.5,177.5,74.40715286,36.67598042,0.9547049,0.9500394,0.9984115,0.9838999,0.15868336,0.15633632
344.5,180.5,74.40292828,36.67522912,0.9533878,0.9283667,0.96691346,1.0037963,0.14053668,0.1446297
347.5,180.5,74.40383475,36.67523366,0.97903216,0.93280375,0.98274815,1.0211008,0.11663685,0.1244508
350.5,180.5,74.40474122,36.67523819,0.94462603,0.9661851,1.0057021,1.0053493,0.10727728,0.1140322
352.5,180.5,74.40534553,36.67524121,1.1631932,1.1585103,1.2263415,1.2244537,0.10507335,0.11388909
355.5,180.5,74.406252,36.67524573,0.6722863,0.70314133,0.7435564,0.74925226,0.18701966,0.18903719
361.5,180.5,74.40806493,36.67525476,0.7412093,0.77810377,0.82644725,0.8256172,0.17756465,0.17797615
363.5,181.5,74.40867111,36.67501437,0.6236255,0.5959495,0.6636143,0.7280623,0.15871198,0.16372094
366.5,181.5,74.40957757,36.67501887,0.30860823,0.3498247,0.39868337,0.41451165,0.17318912,0.17551252
369.5,181.5,74.41048404,36.67502336,0.3786625,0.40006122,0.4245137,0.42795196,0.14557926,0.13599277
374.5,181.5,74.41199482,36.67503083,0.51318014,0.5011523,0.56443983,0.5523041,0.16474603,0.15836416
377.5,181.5,74.41290128,36.6750353,0.57130593,0.58950984,0.6328158,0.63968515,0.16924448,0.16042928
380.5,181.5,74.41380775,36.67503977,0.2632129,0.24652594,0.25087658,0.23997138,0.051806796,0.053123433
383.5,181.5,74.41471421,36.67504423,0.4345118,0.42511338,0.459391,0.4566397,0.110236034,0.107688285
385.5,181.5,74.41531853,36.67504719,0.42220643,0.41465127,0.42168617,0.40399715,0.0718192,0.07037808
388.5,181.5,74.41622499,36.67505164,0.40647027,0.33369288,0.36013195,0.3291878,0.045787647,0.045257583
336.5,184.5,74.40051859,36.67424341,0.6878855,0.69781756,0.73891956,0.72520936,0.13246512,0.13023256
339.5,184.5,74.40142505,36.67424797,0.5612395,0.57229453,0.5872128,0.57749486,0.15172617,0.15164934
341.5,184.5,74.40202935,36.67425101,0.44326255,0.45313236,0.48164034,0.47986552,0.15621142,0.1530223
350.5,184.5,74.40474872,36.67426463,0.79762435,0.80221623,0.8576792,0.89076215,0.21536267,0.20909864
372.5,184.5,74.41139607,36.67429767,0.35214072,0.36425298,0.39741984,0.41389233,0.18222354,0.1693284
374.5,184.5,74.41200037,36.67430066,0.528562,0.58260643,0.6103614,0.58800435,0.13137823,0.12416239
377.5,184.5,74.41290683,36.67430513,0.24913059,0.22574598,0.22654742,0.21154921,0.016257597,0.018375667
380.5,184.5,74.41381329,36.6743096,0.2941986,0.28831732,0.30453604,0.3069338,0.06497158,0.06613637
383.5,184.5,74.41471975,36.67431406,0.41833836,0.41865504,0.43568808,0.43580118,0.06417582,0.06440987
385.5,184.5,74.41532405,36.67431702,0.32469064,0.2994691,0.3106661,0.30670756,0.042713664,0.044234972
394.5,184.5,74.41804343,36.67433034,0,0,0,0,0,0
510.5,185.5,74.45309504,36.67425308,0.4000488,0.35789588,0.33979788,0.31180534,0.033971056,0.03363828
327.5,187.5,74.39780492,36.67349953,0.5273973,0.5255947,0.54278827,0.5381571,0.16745749,0.1527585
330.5,187.5,74.39871136,36.67350411,0.5295743,0.53361005,0.56254745,0.545746,0.14201918,0.12867527
336.5,187.5,74.40052426,36.67351324,0.26973882,0.28779966,0.29922006,0.29767442,0.14775418,0.14419621
369.5,187.5,74.41049518,36.67356302,0.24889128,0.29339904,0.3306979,0.34402642,0.2114312,0.19347075
374.5,187.5,74.41200593,36.67357049,0.73688734,0.7456458,0.76433635,0.72664046,0.076931365,0.07905767
377.5,187.5,74.41291238,36.67357496,0.15584974,0.15690877,0.14849374,0.1343542,0.053971842,0.048090585
388.5,188.5,74.41623786,36.67334791,0.41004652,0.3933882,0.3894669,0.35191414,0.076953985,0.069579795
